[1, 21] 7.51479976048867
[21, 41] 8.094073148069352
[41, 61] 7.994969522697877
[61, 81] 7.677400430514807
[81, 101] 7.299797366758161
[101, 121] 6.876264611890766
[121, 141] 6.541029999189903
[141, 161] 6.0867747269123065
[161, 181] 5.7899601708972535
[181, 201] 5.3706380281276624
[201, 221] 4.882801922586371
[221, 241] 4.634728988229636
[241, 261] 4.51085950651685
[261, 281] 4.23410650459726
[281, 301] 3.6635616461296463
[301, 321] 2.9444389791664403
[321, 341] 2.6390573296152584
[341, 363] 2.9444389791664403
[363, 383] 2.4849066497880004
[383, 405] 2.302585092994046
[405, 425] 1.791759469228055
[425, 452] 1.9459101490553132
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
